"BRAND","OPTION_ID","OPTION_DESC","VPN","LIKE_ITEM","DEPT","DEPT_NAME","CLASS","CLASS_NAME","SUBCLASS","SUB_NAME","FABRIC","COLOR_SHADE","COLOR_FAMILY","SEASON_CODE","SEASONALITY","SILHOUETTE","COLLECTION","SLEEVE_LENGTH","LENGTH","HEEL_TYPE","GENDER","SIZERANGE","PRICE_STRATEGY","STORY","SELLING_PHASE","LABEL","CREATE_ID","CREATE_DATETIME","LAST_UPDATE_DATETIME","LAST_UPDATE_ID","SUBDEPARTMENT","SUBDEPARTMENT_NAME"
"AME","128768263_AMEC100","ETCHED BRAID FLIP FLOP-WHITE","0417-3345","",107,"AME_WOMENS ACCESSORIES",2,"041-WOMENS FOOTWEAR",3,"SANDALS","NA","WHITE","WHITE","SS15","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768263_AMEC203","ETCHED BRAID FLIP FLOP-BROWN","0417-3345","",107,"AME_WOMENS ACCESSORIES",2,"041-WOMENS FOOTWEAR",3,"SANDALS","NA","BROWN","BROWN","SS15","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768295_AMEC106","MONTANA CABLE SOCK-WHITE","0425-6561","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",6,"SOCKS","NA","WHITE","WHITE","AW13","CONT","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","FALL 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768401_AMEC256","BOW MOLDED FOOTBED-NEUTRAL","1415-4295","",107,"AME_WOMENS ACCESSORIES",2,"041-WOMENS FOOTWEAR",3,"SANDALS","POLY","NEUTRAL","NEUTRAL","SS19","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","BETTER","OTHER","SUM 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768401_AMEC684","BOW MOLDED FOOTBED-RED","1415-4295","",107,"AME_WOMENS ACCESSORIES",2,"041-WOMENS FOOTWEAR",3,"SANDALS","POLY","RED","RED","SS19","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","BETTER","OTHER","SUM 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768406_AMEC013","BLING BAR NECK-GREY","0482-2944","",107,"AME_WOMENS ACCESSORIES",5,"048-WOMENS JEWELRY",9,"NECKLACE","NA","GREY","GREY","AW12","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","FALL 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768408_AMEC615","TEXTURED KNIT LOOP-PINK","1429-8063","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",5,"SCARVES","NA","PINK","PINK","AW16","CONT","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","FALL 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768414_AMEC200","LEOPARD BUCKET BAG-BROWN","0427-9993","",107,"AME_WOMENS ACCESSORIES",4,"047-WOMENS BAGS & BELTS",1,"BAGS_1","COTTON_POLY","BROWN","BROWN","AW19","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","GOOD","OTHER","BTS 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768424_AMEC309","CAMO BLANKET SCARF-GREEN","1421-9048","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",5,"SCARVES","POLY","GREEN","GREEN","AW18","CONT","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","GOOD","OTHER","HOL 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768431_AMEC900","WIDE FASHION HIP BELT-MULTI-COLORED","0423-9772","",107,"AME_WOMENS ACCESSORIES",4,"047-WOMENS BAGS & BELTS",4,"BELT","POLY","MULTI-COLORED","NA","AW18","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","GOOD","OTHER","BTS 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768443_AMEC104","IVORY BEAD HEAD WRAP-BURGUNDY","0421-1315","",107,"AME_WOMENS ACCESSORIES",5,"048-WOMENS JEWELRY",3,"HAIR ACCESSORIES","NA","BURGUNDY","BURGUNDY","AW10","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","FALL 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768458_AMEC400","ETHAN PRINTED LOOP-BLUE","1421-6492","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",5,"SCARVES","NA","BLUE","BLUE","SS13","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768458_AMEC500","ETHAN PRINTED LOOP-PURPLE","1421-6492","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",5,"SCARVES","COTTON","PURPLE","PURPLE","SS21","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","GOOD","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768342_AMEC203","TURQ STUD AND STITCHED LEATHER FLIP FLOP-BROWN","0417-3567","",107,"AME_WOMENS ACCESSORIES",2,"041-WOMENS FOOTWEAR",3,"SANDALS","NA","BROWN","BROWN","SS16","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768348_AMEC041","PAISLEY DIAMOND BANDANA-WHITE","1421-8485","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",2,"HATS","NA","WHITE","WHITE","AW17","CONT","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","FALL 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768370_AMEC082","SF CHARM BRACELET-GREY","0483-4447","",107,"AME_WOMENS ACCESSORIES",5,"048-WOMENS JEWELRY",1,"BRACELETS","NA","GREY","GREY","SS15","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768371_AMEC073","LEAF EMBROIDERED SCARF-BLACK","1421-6908","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",5,"SCARVES","NA","BLACK","BLACK","SS14","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768377_AMEC410","NAVY FAUX LEATHER TEARDROP EARRING-BLUE","0484-8539","",107,"AME_WOMENS ACCESSORIES",5,"048-WOMENS JEWELRY",2,"EARRINGS","OTHER","BLUE","BLUE","AW18","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","GOOD","OTHER","HOL 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768381_AMEC203","SKINNY STUDDED BELT-BROWN","0423-3757","",107,"AME_WOMENS ACCESSORIES",4,"047-WOMENS BAGS & BELTS",4,"BELT","NA","BROWN","BROWN","SS10","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768382_AMEC400","MULTI COLOR STRIPE SCARF-BLUE","1421-5923","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",5,"SCARVES","NA","BLUE","BLUE","SS12","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768389_AMEC400","CHAMBRAY FLORAL BASEBALL HAT-BLUE","0422-8295","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",2,"HATS","NA","BLUE","BLUE","SS17","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768392_AMEC107","POP COLOR PANAMA HAT-RED","0422-8752","",107,"AME_WOMENS ACCESSORIES",3,"042-WOMENS SOFT ACCESSORIES",2,"HATS","OTHER","RED","RED","SS18","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","BETTER","OTHER","SUM 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768396_AMEC082","GEO SILVER  GOLD 18PACK EAR SET-GREY","0484-5247","",107,"AME_WOMENS ACCESSORIES",5,"048-WOMENS JEWELRY",2,"EARRINGS","NA","GREY","GREY","AW16","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","FALL 1","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768397_AMEC900","COLOR SPECKLED WHITE CLASSIC-MULTI-COLORED","0506-3909","",107,"AME_WOMENS ACCESSORIES",5,"048-WOMENS JEWELRY",6,"SUNGLASSES","NA","MULTI-COLORED","NA","SS14","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768907_AMEC300","COLORBLOCK BOTTOMS-GREEN","0462-3283","",107,"AME_WOMENS ACCESSORIES",8,"060-AE INTIMATES",1,"AE INTIMATES","NA","GREEN","GREEN","SS13","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
"AME","128768907_AMEC500","COLORBLOCK BOTTOMS-PURPLE","0462-3283","",107,"AME_WOMENS ACCESSORIES",8,"060-AE INTIMATES",1,"AE INTIMATES","NA","PURPLE","PURPLE","SS13","SEASONAL","OTHER","OTHER","NA","REGULAR","NA","FEMALE","","NA","OTHER","SPR 2","NA","APPS_003",15-09-25,06-03-26,"APPS_003","",""
